alumno,carrera,sexo,calidad
5717,Curso de Ingreso UNViMe,F,A
5718,Curso de Ingreso UNViMe,F,A
5719,Curso de Ingreso UNViMe,F,A
5720,Curso de Ingreso UNViMe,M,A
5721,Curso de Ingreso UNViMe,F,A
5722,Curso de Ingreso UNViMe,F,A
5723,Curso de Ingreso UNViMe,F,A
5724,Curso de Ingreso UNViMe,F,A
5725,Curso de Ingreso UNViMe,F,A
5726,Curso de Ingreso UNViMe,F,A
5727,Curso de Ingreso UNViMe,F,A
5728,Curso de Ingreso UNViMe,F,A
5729,Curso de Ingreso UNViMe,M,A
5730,Curso de Ingreso UNViMe,F,A
5731,Curso de Ingreso UNViMe,F,A
5732,Curso de Ingreso UNViMe,M,A
5734,Curso de Ingreso UNViMe,F,A
5735,Curso de Ingreso UNViMe,F,A
5736,Curso de Ingreso UNViMe,F,A
5737,Curso de Ingreso UNViMe,M,A
5738,Curso de Ingreso UNViMe,F,A
5739,Curso de Ingreso UNViMe,M,A
5740,Curso de Ingreso UNViMe,F,A
5741,Curso de Ingreso UNViMe,F,A
5742,Curso de Ingreso UNViMe,M,A
5743,Curso de Ingreso UNViMe,M,A
5744,Curso de Ingreso UNViMe,F,A
5745,Curso de Ingreso UNViMe,M,A
5746,Curso de Ingreso UNViMe,M,A
5747,Curso de Ingreso UNViMe,M,A
5748,Curso de Ingreso UNViMe,F,A
5749,Curso de Ingreso UNViMe,M,A
5750,Curso de Ingreso UNViMe,F,A
5751,Curso de Ingreso UNViMe,F,A
5752,Curso de Ingreso UNViMe,F,A
5753,Curso de Ingreso UNViMe,F,A
5754,Curso de Ingreso UNViMe,F,A
5755,Curso de Ingreso UNViMe,M,A
5756,Curso de Ingreso UNViMe,F,A
5757,Curso de Ingreso UNViMe,F,A
5758,Curso de Ingreso UNViMe,M,A
5759,Curso de Ingreso UNViMe,F,A
5760,Curso de Ingreso UNViMe,F,A
5761,Curso de Ingreso UNViMe,F,A
5762,Curso de Ingreso UNViMe,F,A
5763,Curso de Ingreso UNViMe,F,A
5764,Curso de Ingreso UNViMe,F,A
5765,Curso de Ingreso UNViMe,M,A
5766,Curso de Ingreso UNViMe,F,A
5767,Curso de Ingreso UNViMe,F,A
5768,Curso de Ingreso UNViMe,F,A
5769,Curso de Ingreso UNViMe,F,A
5770,Curso de Ingreso UNViMe,F,A
5771,Curso de Ingreso UNViMe,M,A
5772,Curso de Ingreso UNViMe,F,A
5773,Curso de Ingreso UNViMe,M,A
5774,Curso de Ingreso UNViMe,F,A
5775,Curso de Ingreso UNViMe,M,A
5776,Curso de Ingreso UNViMe,F,A
5777,Curso de Ingreso UNViMe,F,A
5778,Curso de Ingreso UNViMe,F,A
5779,Curso de Ingreso UNViMe,F,A
5780,Curso de Ingreso UNViMe,F,A
5781,Curso de Ingreso UNViMe,F,A
5782,Curso de Ingreso UNViMe,F,A
5783,Curso de Ingreso UNViMe,F,A
5784,Curso de Ingreso UNViMe,F,A
5785,Curso de Ingreso UNViMe,F,A
5786,Curso de Ingreso UNViMe,F,A
5787,Curso de Ingreso UNViMe,F,A
5788,Curso de Ingreso UNViMe,M,A
5789,Curso de Ingreso UNViMe,M,A
5790,Curso de Ingreso UNViMe,M,A
5791,Curso de Ingreso UNViMe,F,A
5792,Curso de Ingreso UNViMe,F,A
5793,Curso de Ingreso UNViMe,F,A
5794,Curso de Ingreso UNViMe,F,A
5795,Curso de Ingreso UNViMe,F,A
5796,Curso de Ingreso UNViMe,F,A
5797,Curso de Ingreso UNViMe,F,A
5798,Curso de Ingreso UNViMe,F,A
5799,Curso de Ingreso UNViMe,M,A
5800,Curso de Ingreso UNViMe,M,A
5801,Curso de Ingreso UNViMe,F,A
5802,Curso de Ingreso UNViMe,F,A
5803,Curso de Ingreso UNViMe,F,A
5804,Curso de Ingreso UNViMe,M,A
5805,Curso de Ingreso UNViMe,F,A
5806,Curso de Ingreso UNViMe,F,A
5807,Curso de Ingreso UNViMe,F,A
5808,Curso de Ingreso UNViMe,F,A
5809,Curso de Ingreso UNViMe,F,A
5810,Curso de Ingreso UNViMe,M,A
5811,Curso de Ingreso UNViMe,F,A
5812,Curso de Ingreso UNViMe,F,A
5813,Curso de Ingreso UNViMe,F,A
5814,Curso de Ingreso UNViMe,F,A
5815,Curso de Ingreso UNViMe,F,A
5816,Curso de Ingreso UNViMe,F,A
5817,Curso de Ingreso UNViMe,M,A
5818,Curso de Ingreso UNViMe,F,A
5819,Curso de Ingreso UNViMe,F,A
5820,Curso de Ingreso UNViMe,F,A
5821,Curso de Ingreso UNViMe,F,A
5822,Curso de Ingreso UNViMe,F,A
5823,Curso de Ingreso UNViMe,M,A
5824,Curso de Ingreso UNViMe,M,A
5825,Curso de Ingreso UNViMe,F,A
5826,Curso de Ingreso UNViMe,F,A
5827,Curso de Ingreso UNViMe,F,A
5828,Curso de Ingreso UNViMe,F,A
5829,Curso de Ingreso UNViMe,F,A
5830,Curso de Ingreso UNViMe,F,A
5831,Curso de Ingreso UNViMe,F,A
5832,Curso de Ingreso UNViMe,F,A
5833,Curso de Ingreso UNViMe,F,A
5834,Curso de Ingreso UNViMe,F,A
5835,Curso de Ingreso UNViMe,F,A
5836,Curso de Ingreso UNViMe,F,A
5837,Curso de Ingreso UNViMe,F,A
5838,Curso de Ingreso UNViMe,F,A
5839,Curso de Ingreso UNViMe,F,A
5840,Curso de Ingreso UNViMe,F,A
5841,Curso de Ingreso UNViMe,F,A
5842,Curso de Ingreso UNViMe,F,A
5843,Curso de Ingreso UNViMe,F,A
5844,Curso de Ingreso UNViMe,F,A
5845,Curso de Ingreso UNViMe,F,A
5846,Curso de Ingreso UNViMe,F,A
5847,Curso de Ingreso UNViMe,F,A
5848,Curso de Ingreso UNViMe,F,A
5849,Curso de Ingreso UNViMe,F,A
5850,Curso de Ingreso UNViMe,F,A
5851,Curso de Ingreso UNViMe,F,A
5852,Curso de Ingreso UNViMe,F,A
5853,Curso de Ingreso UNViMe,F,A
5854,Curso de Ingreso UNViMe,F,A
5855,Curso de Ingreso UNViMe,F,A
5856,Curso de Ingreso UNViMe,F,A
5857,Curso de Ingreso UNViMe,F,A
5858,Curso de Ingreso UNViMe,F,A
5859,Curso de Ingreso UNViMe,F,A
5860,Curso de Ingreso UNViMe,F,A
5861,Curso de Ingreso UNViMe,F,A
5862,Curso de Ingreso UNViMe,F,A
5863,Curso de Ingreso UNViMe,F,A
5864,Curso de Ingreso UNViMe,F,A
5865,Curso de Ingreso UNViMe,F,A
5866,Curso de Ingreso UNViMe,F,A
5867,Curso de Ingreso UNViMe,F,A
5868,Curso de Ingreso UNViMe,F,A
5869,Curso de Ingreso UNViMe,F,A
5870,Curso de Ingreso UNViMe,F,A
5871,Curso de Ingreso UNViMe,F,A
5872,Curso de Ingreso UNViMe,F,A
5873,Curso de Ingreso UNViMe,F,A
5874,Curso de Ingreso UNViMe,M,A
5875,Curso de Ingreso UNViMe,F,A
5876,Curso de Ingreso UNViMe,F,A
5877,Curso de Ingreso UNViMe,F,A
5878,Curso de Ingreso UNViMe,F,A
5879,Curso de Ingreso UNViMe,F,A
5880,Curso de Ingreso UNViMe,F,A
5881,Curso de Ingreso UNViMe,F,A
5882,Curso de Ingreso UNViMe,F,A
5883,Curso de Ingreso UNViMe,F,A
5884,Curso de Ingreso UNViMe,F,A
5885,Curso de Ingreso UNViMe,F,A
5886,Curso de Ingreso UNViMe,F,A
5887,Curso de Ingreso UNViMe,F,A
5888,Curso de Ingreso UNViMe,F,A
5889,Curso de Ingreso UNViMe,F,A
5890,Curso de Ingreso UNViMe,F,A
5891,Curso de Ingreso UNViMe,F,A
5892,Curso de Ingreso UNViMe,F,A
5893,Curso de Ingreso UNViMe,F,A
5894,Curso de Ingreso UNViMe,F,A
5895,Curso de Ingreso UNViMe,F,A
5896,Curso de Ingreso UNViMe,F,A
5897,Curso de Ingreso UNViMe,F,A
5898,Curso de Ingreso UNViMe,F,A
5899,Curso de Ingreso UNViMe,F,A
5900,Curso de Ingreso UNViMe,F,A
5901,Curso de Ingreso UNViMe,F,A
5902,Curso de Ingreso UNViMe,F,A
5903,Curso de Ingreso UNViMe,F,A
5904,Curso de Ingreso UNViMe,F,A
5905,Curso de Ingreso UNViMe,F,A
5906,Curso de Ingreso UNViMe,F,A
5907,Curso de Ingreso UNViMe,F,A
5908,Curso de Ingreso UNViMe,F,A
5909,Curso de Ingreso UNViMe,F,A
5910,Curso de Ingreso UNViMe,F,A
5911,Curso de Ingreso UNViMe,F,A
5912,Curso de Ingreso UNViMe,F,A
5913,Curso de Ingreso UNViMe,F,A
5914,Curso de Ingreso UNViMe,F,A
5915,Curso de Ingreso UNViMe,F,A
5916,Curso de Ingreso UNViMe,F,A
5917,Curso de Ingreso UNViMe,F,A
5918,Curso de Ingreso UNViMe,F,A
5919,Curso de Ingreso UNViMe,F,A
5920,Curso de Ingreso UNViMe,F,A
5921,Curso de Ingreso UNViMe,F,A
5922,Curso de Ingreso UNViMe,F,A
5923,Curso de Ingreso UNViMe,F,A
5924,Curso de Ingreso UNViMe,F,A
5925,Curso de Ingreso UNViMe,F,A
5926,Curso de Ingreso UNViMe,F,A
5927,Curso de Ingreso UNViMe,F,A
5928,Curso de Ingreso UNViMe,F,A
5929,Curso de Ingreso UNViMe,F,A
5930,Curso de Ingreso UNViMe,M,A
5931,Curso de Ingreso UNViMe,F,A
5932,Curso de Ingreso UNViMe,F,A
5933,Curso de Ingreso UNViMe,F,A
5934,Curso de Ingreso UNViMe,F,A
5935,Curso de Ingreso UNViMe,F,A
5936,Curso de Ingreso UNViMe,F,A
5937,Curso de Ingreso UNViMe,F,A
5938,Curso de Ingreso UNViMe,F,A
5939,Curso de Ingreso UNViMe,F,A
5940,Curso de Ingreso UNViMe,F,A
5941,Curso de Ingreso UNViMe,F,A
5942,Curso de Ingreso UNViMe,F,A
5943,Curso de Ingreso UNViMe,F,A
5944,Curso de Ingreso UNViMe,F,A
5945,Curso de Ingreso UNViMe,F,A
5946,Curso de Ingreso UNViMe,F,A
5947,Curso de Ingreso UNViMe,F,A
5948,Curso de Ingreso UNViMe,F,A
5949,Curso de Ingreso UNViMe,F,A
5950,Curso de Ingreso UNViMe,F,A
5951,Curso de Ingreso UNViMe,F,A
5952,Curso de Ingreso UNViMe,M,A
5953,Curso de Ingreso UNViMe,M,A
5954,Curso de Ingreso UNViMe,F,A
5955,Curso de Ingreso UNViMe,F,A
5956,Curso de Ingreso UNViMe,F,A
5957,Curso de Ingreso UNViMe,M,A
5958,Curso de Ingreso UNViMe,M,A
5959,Curso de Ingreso UNViMe,F,A
5960,Curso de Ingreso UNViMe,F,A
5961,Curso de Ingreso UNViMe,F,A
5962,Curso de Ingreso UNViMe,F,A
5963,Curso de Ingreso UNViMe,M,A
5964,Curso de Ingreso UNViMe,F,A
5965,Curso de Ingreso UNViMe,F,A
5966,Curso de Ingreso UNViMe,F,A
5967,Curso de Ingreso UNViMe,F,A
5968,Curso de Ingreso UNViMe,F,A
5969,Curso de Ingreso UNViMe,M,A
5970,Curso de Ingreso UNViMe,F,A
5971,Curso de Ingreso UNViMe,F,A
5972,Curso de Ingreso UNViMe,M,A
5973,Curso de Ingreso UNViMe,F,A
5974,Curso de Ingreso UNViMe,F,A
5975,Curso de Ingreso UNViMe,F,A
5976,Curso de Ingreso UNViMe,M,A
5977,Curso de Ingreso UNViMe,F,A
5978,Curso de Ingreso UNViMe,F,A
5979,Curso de Ingreso UNViMe,M,A
5980,Curso de Ingreso UNViMe,F,A
5981,Curso de Ingreso UNViMe,M,A
5982,Curso de Ingreso UNViMe,F,A
5983,Curso de Ingreso UNViMe,M,A
5984,Curso de Ingreso UNViMe,M,A
5985,Curso de Ingreso UNViMe,M,A
5986,Curso de Ingreso UNViMe,F,A
5987,Curso de Ingreso UNViMe,F,A
5988,Curso de Ingreso UNViMe,F,A
5989,Curso de Ingreso UNViMe,F,A
5990,Curso de Ingreso UNViMe,M,A
5991,Curso de Ingreso UNViMe,F,A
5992,Curso de Ingreso UNViMe,F,A
5993,Curso de Ingreso UNViMe,F,A
5994,Curso de Ingreso UNViMe,F,A
5995,Curso de Ingreso UNViMe,F,A
5996,Curso de Ingreso UNViMe,F,A
5997,Curso de Ingreso UNViMe,F,A
5998,Curso de Ingreso UNViMe,M,A
5999,Curso de Ingreso UNViMe,F,A
6000,Curso de Ingreso UNViMe,F,A
6001,Curso de Ingreso UNViMe,F,A
6002,Curso de Ingreso UNViMe,F,A
6003,Curso de Ingreso UNViMe,F,A
6004,Curso de Ingreso UNViMe,F,A
6005,Curso de Ingreso UNViMe,F,A
6006,Curso de Ingreso UNViMe,F,A
6007,Curso de Ingreso UNViMe,F,A
6008,Curso de Ingreso UNViMe,F,A
6009,Curso de Ingreso UNViMe,M,A
6010,Curso de Ingreso UNViMe,F,A
6011,Curso de Ingreso UNViMe,F,A
6012,Curso de Ingreso UNViMe,F,A
6013,Curso de Ingreso UNViMe,F,A
6014,Curso de Ingreso UNViMe,M,A
6015,Curso de Ingreso UNViMe,F,A
6016,Curso de Ingreso UNViMe,M,A
6017,Curso de Ingreso UNViMe,M,A
6018,Curso de Ingreso UNViMe,M,A
6019,Curso de Ingreso UNViMe,F,A
6020,Curso de Ingreso UNViMe,F,A
6021,Curso de Ingreso UNViMe,F,A
6022,Curso de Ingreso UNViMe,F,A
6023,Curso de Ingreso UNViMe,F,A
6024,Curso de Ingreso UNViMe,F,A
6025,Curso de Ingreso UNViMe,F,A
6026,Curso de Ingreso UNViMe,F,A
6027,Curso de Ingreso UNViMe,F,P
6028,Curso de Ingreso UNViMe,F,A
6029,Curso de Ingreso UNViMe,F,A
6030,Curso de Ingreso UNViMe,M,A
6031,Curso de Ingreso UNViMe,M,A
6032,Curso de Ingreso UNViMe,M,A
6033,Curso de Ingreso UNViMe,F,A
6034,Curso de Ingreso UNViMe,F,A
6035,Curso de Ingreso UNViMe,F,A
6036,Curso de Ingreso UNViMe,F,A
6037,Curso de Ingreso UNViMe,F,A
6038,Curso de Ingreso UNViMe,F,A
6039,Curso de Ingreso UNViMe,F,A
6040,Curso de Ingreso UNViMe,F,A
6041,Curso de Ingreso UNViMe,F,A
6042,Curso de Ingreso UNViMe,F,A
6043,Curso de Ingreso UNViMe,F,A
6044,Curso de Ingreso UNViMe,F,A
6045,Curso de Ingreso UNViMe,F,A
6046,Curso de Ingreso UNViMe,M,A
6047,Curso de Ingreso UNViMe,F,A
6048,Curso de Ingreso UNViMe,F,A
6049,Curso de Ingreso UNViMe,F,A
6050,Curso de Ingreso UNViMe,M,A
6051,Curso de Ingreso UNViMe,F,A
6052,Curso de Ingreso UNViMe,M,A
6053,Curso de Ingreso UNViMe,F,A
6054,Curso de Ingreso UNViMe,F,A
6055,Curso de Ingreso UNViMe,M,A
6056,Curso de Ingreso UNViMe,M,A
6057,Curso de Ingreso UNViMe,F,A
6058,Curso de Ingreso UNViMe,F,A
6059,Curso de Ingreso UNViMe,F,A
6060,Curso de Ingreso UNViMe,F,A
6061,Curso de Ingreso UNViMe,F,A
6062,Curso de Ingreso UNViMe,F,A
6063,Curso de Ingreso UNViMe,F,A
6064,Curso de Ingreso UNViMe,F,A
6065,Curso de Ingreso UNViMe,F,A
6066,Curso de Ingreso UNViMe,F,A
6067,Curso de Ingreso UNViMe,F,A
6068,Curso de Ingreso UNViMe,M,A
6069,Curso de Ingreso UNViMe,F,A
6070,Curso de Ingreso UNViMe,F,A
6071,Curso de Ingreso UNViMe,F,A
6072,Curso de Ingreso UNViMe,F,A
6073,Curso de Ingreso UNViMe,F,A
6074,Curso de Ingreso UNViMe,F,A
6075,Curso de Ingreso UNViMe,F,A
6076,Curso de Ingreso UNViMe,F,A
6077,Curso de Ingreso UNViMe,F,A
6078,Curso de Ingreso UNViMe,F,A
6079,Curso de Ingreso UNViMe,F,A
6080,Curso de Ingreso UNViMe,F,A
6081,Curso de Ingreso UNViMe,F,A
6082,Curso de Ingreso UNViMe,F,A
6083,Curso de Ingreso UNViMe,F,A
6084,Curso de Ingreso UNViMe,F,A
6085,Curso de Ingreso UNViMe,F,A
6086,Curso de Ingreso UNViMe,F,A
6087,Curso de Ingreso UNViMe,F,A
6088,Curso de Ingreso UNViMe,F,A
6089,Curso de Ingreso UNViMe,F,A
6090,Curso de Ingreso UNViMe,F,A
6091,Curso de Ingreso UNViMe,F,A
6092,Curso de Ingreso UNViMe,F,A
6093,Curso de Ingreso UNViMe,F,A
6094,Curso de Ingreso UNViMe,F,A
6095,Curso de Ingreso UNViMe,F,A
6096,Curso de Ingreso UNViMe,F,A
6097,Curso de Ingreso UNViMe,F,A
6098,Curso de Ingreso UNViMe,F,A
6099,Curso de Ingreso UNViMe,F,A
6100,Curso de Ingreso UNViMe,F,A
6101,Curso de Ingreso UNViMe,F,A
6102,Curso de Ingreso UNViMe,F,A
6103,Curso de Ingreso UNViMe,F,A
6104,Curso de Ingreso UNViMe,F,A
6105,Curso de Ingreso UNViMe,F,A
6106,Curso de Ingreso UNViMe,M,A
6107,Curso de Ingreso UNViMe,F,A
6108,Curso de Ingreso UNViMe,F,A
6109,Curso de Ingreso UNViMe,F,A
6110,Curso de Ingreso UNViMe,F,A
6111,Curso de Ingreso UNViMe,F,A
6112,Curso de Ingreso UNViMe,F,A
6113,Curso de Ingreso UNViMe,F,A
6114,Curso de Ingreso UNViMe,F,A
6115,Curso de Ingreso UNViMe,F,A
6116,Curso de Ingreso UNViMe,F,A
6117,Curso de Ingreso UNViMe,F,A
6118,Curso de Ingreso UNViMe,F,A
6119,Curso de Ingreso UNViMe,F,A
6120,Curso de Ingreso UNViMe,F,A
6121,Curso de Ingreso UNViMe,F,A
6122,Curso de Ingreso UNViMe,F,A
6123,Curso de Ingreso UNViMe,F,A
6124,Curso de Ingreso UNViMe,F,A
6125,Curso de Ingreso UNViMe,F,A
6126,Curso de Ingreso UNViMe,F,A
6127,Curso de Ingreso UNViMe,F,A
6128,Curso de Ingreso UNViMe,F,A
6129,Curso de Ingreso UNViMe,F,A
6130,Curso de Ingreso UNViMe,F,A
6131,Curso de Ingreso UNViMe,F,A
6132,Curso de Ingreso UNViMe,F,A
6133,Curso de Ingreso UNViMe,F,A
6134,Curso de Ingreso UNViMe,F,A
6135,Curso de Ingreso UNViMe,F,A
6136,Curso de Ingreso UNViMe,F,A
6137,Curso de Ingreso UNViMe,F,A
6138,Curso de Ingreso UNViMe,F,A
6139,Curso de Ingreso UNViMe,F,A
6140,Curso de Ingreso UNViMe,F,A
6141,Curso de Ingreso UNViMe,F,A
6142,Curso de Ingreso UNViMe,F,A
6143,Curso de Ingreso UNViMe,F,A
6144,Curso de Ingreso UNViMe,F,A
6145,Curso de Ingreso UNViMe,F,A
6146,Curso de Ingreso UNViMe,F,A
6147,Curso de Ingreso UNViMe,F,A
6148,Curso de Ingreso UNViMe,F,A
6149,Curso de Ingreso UNViMe,F,A
6150,Curso de Ingreso UNViMe,F,A
6151,Curso de Ingreso UNViMe,F,A
6152,Curso de Ingreso UNViMe,M,A
6153,Curso de Ingreso UNViMe,F,A
6154,Curso de Ingreso UNViMe,F,A
6155,Curso de Ingreso UNViMe,F,A
6156,Curso de Ingreso UNViMe,F,A
6157,Curso de Ingreso UNViMe,M,A
6158,Curso de Ingreso UNViMe,M,A
6159,Curso de Ingreso UNViMe,F,A
6160,Curso de Ingreso UNViMe,F,A
6161,Curso de Ingreso UNViMe,F,A
6162,Curso de Ingreso UNViMe,M,A
6163,Curso de Ingreso UNViMe,F,A
6164,Curso de Ingreso UNViMe,F,A
6165,Curso de Ingreso UNViMe,F,A
6166,Curso de Ingreso UNViMe,F,A
6167,Curso de Ingreso UNViMe,F,A
6168,Curso de Ingreso UNViMe,F,A
6169,Curso de Ingreso UNViMe,F,A
6170,Curso de Ingreso UNViMe,F,A
6172,Curso de Ingreso UNViMe,M,A
6173,Curso de Ingreso UNViMe,F,A
6174,Curso de Ingreso UNViMe,F,A
6175,Curso de Ingreso UNViMe,F,A
6176,Curso de Ingreso UNViMe,M,A
6177,Curso de Ingreso UNViMe,F,A
6178,Curso de Ingreso UNViMe,F,A
6179,Curso de Ingreso UNViMe,F,A
6180,Curso de Ingreso UNViMe,F,A
6181,Curso de Ingreso UNViMe,M,A
6182,Curso de Ingreso UNViMe,F,A
6183,Curso de Ingreso UNViMe,F,A
6184,Curso de Ingreso UNViMe,F,A
6185,Curso de Ingreso UNViMe,F,A
6186,Curso de Ingreso UNViMe,F,A
6187,Curso de Ingreso UNViMe,F,A
6188,Curso de Ingreso UNViMe,F,A
6189,Curso de Ingreso UNViMe,M,A
6190,Curso de Ingreso UNViMe,F,A
6191,Curso de Ingreso UNViMe,F,A
6192,Curso de Ingreso UNViMe,F,A
6193,Curso de Ingreso UNViMe,F,A
6194,Curso de Ingreso UNViMe,F,A
6195,Curso de Ingreso UNViMe,F,A
6196,Curso de Ingreso UNViMe,F,A
6197,Curso de Ingreso UNViMe,F,A
6198,Curso de Ingreso UNViMe,F,A
6199,Curso de Ingreso UNViMe,F,A
6200,Curso de Ingreso UNViMe,F,A
6201,Curso de Ingreso UNViMe,F,A
6202,Curso de Ingreso UNViMe,F,A
6203,Curso de Ingreso UNViMe,F,A
6204,Curso de Ingreso UNViMe,F,A
6205,Curso de Ingreso UNViMe,F,A
6206,Curso de Ingreso UNViMe,F,A
6207,Curso de Ingreso UNViMe,F,A
6208,Curso de Ingreso UNViMe,F,A
6209,Curso de Ingreso UNViMe,F,A
6210,Curso de Ingreso UNViMe,F,A
6211,Curso de Ingreso UNViMe,F,A
6212,Curso de Ingreso UNViMe,F,A
6213,Curso de Ingreso UNViMe,F,A
6215,Curso de Ingreso UNViMe,F,A
6216,Curso de Ingreso UNViMe,F,A
6217,Curso de Ingreso UNViMe,F,A
6218,Curso de Ingreso UNViMe,F,A
6219,Curso de Ingreso UNViMe,F,A
6220,Curso de Ingreso UNViMe,F,A
6221,Curso de Ingreso UNViMe,F,A
6222,Curso de Ingreso UNViMe,F,A
6223,Curso de Ingreso UNViMe,F,A
6224,Curso de Ingreso UNViMe,F,A
6225,Curso de Ingreso UNViMe,F,A
6226,Curso de Ingreso UNViMe,F,A
6227,Curso de Ingreso UNViMe,F,A
6228,Curso de Ingreso UNViMe,F,A
6229,Curso de Ingreso UNViMe,M,A
6230,Curso de Ingreso UNViMe,F,A
6231,Curso de Ingreso UNViMe,M,A
6232,Curso de Ingreso UNViMe,F,A
6233,Curso de Ingreso UNViMe,F,A
6234,Curso de Ingreso UNViMe,M,A
6235,Curso de Ingreso UNViMe,F,A
6236,Curso de Ingreso UNViMe,F,A
6237,Curso de Ingreso UNViMe,F,A
6238,Curso de Ingreso UNViMe,F,A
6239,Curso de Ingreso UNViMe,F,A
6240,Curso de Ingreso UNViMe,F,A
6241,Curso de Ingreso UNViMe,F,A
6242,Curso de Ingreso UNViMe,F,A
6243,Curso de Ingreso UNViMe,F,A
6244,Curso de Ingreso UNViMe,F,A
6245,Curso de Ingreso UNViMe,M,A
6246,Curso de Ingreso UNViMe,F,A
6247,Curso de Ingreso UNViMe,F,A
6248,Curso de Ingreso UNViMe,F,A
6249,Curso de Ingreso UNViMe,F,A
6250,Curso de Ingreso UNViMe,M,A
6251,Curso de Ingreso UNViMe,F,A
6252,Curso de Ingreso UNViMe,F,A
6253,Curso de Ingreso UNViMe,F,A
6254,Curso de Ingreso UNViMe,F,A
6255,Curso de Ingreso UNViMe,M,A
6256,Curso de Ingreso UNViMe,F,A
6257,Curso de Ingreso UNViMe,F,A
6258,Curso de Ingreso UNViMe,F,A
6259,Curso de Ingreso UNViMe,F,A
6260,Curso de Ingreso UNViMe,F,A
6261,Curso de Ingreso UNViMe,F,A
6262,Curso de Ingreso UNViMe,F,A
6263,Curso de Ingreso UNViMe,F,A
6264,Curso de Ingreso UNViMe,F,A
6265,Curso de Ingreso UNViMe,F,A
6266,Curso de Ingreso UNViMe,F,A
6267,Curso de Ingreso UNViMe,F,A
6268,Curso de Ingreso UNViMe,M,A
6269,Curso de Ingreso UNViMe,F,A
6270,Curso de Ingreso UNViMe,F,A
6271,Curso de Ingreso UNViMe,M,A
6272,Curso de Ingreso UNViMe,M,A
6273,Curso de Ingreso UNViMe,M,A
6274,Curso de Ingreso UNViMe,F,A
6275,Curso de Ingreso UNViMe,F,A
6276,Curso de Ingreso UNViMe,F,A
6277,Curso de Ingreso UNViMe,F,A
6278,Curso de Ingreso UNViMe,F,A
6279,Curso de Ingreso UNViMe,F,A
6280,Curso de Ingreso UNViMe,M,A
6281,Curso de Ingreso UNViMe,M,A
6282,Curso de Ingreso UNViMe,F,A
6283,Curso de Ingreso UNViMe,F,A
6284,Curso de Ingreso UNViMe,F,A
6285,Curso de Ingreso UNViMe,F,A
6286,Curso de Ingreso UNViMe,M,A
6287,Curso de Ingreso UNViMe,F,A
6288,Curso de Ingreso UNViMe,F,A
6289,Curso de Ingreso UNViMe,F,A
6291,Curso de Ingreso UNViMe,F,A
6292,Curso de Ingreso UNViMe,F,A
6293,Curso de Ingreso UNViMe,F,A
6294,Curso de Ingreso UNViMe,F,A
6295,Curso de Ingreso UNViMe,F,A
6296,Curso de Ingreso UNViMe,F,A
6297,Curso de Ingreso UNViMe,F,A
6298,Curso de Ingreso UNViMe,M,A
6299,Curso de Ingreso UNViMe,F,A
6300,Curso de Ingreso UNViMe,F,A
6301,Curso de Ingreso UNViMe,M,A
6302,Curso de Ingreso UNViMe,F,A
6303,Curso de Ingreso UNViMe,F,A
6304,Curso de Ingreso UNViMe,F,A
6305,Curso de Ingreso UNViMe,F,A
6306,Curso de Ingreso UNViMe,F,A
6307,Curso de Ingreso UNViMe,F,A
6308,Curso de Ingreso UNViMe,F,A
6309,Curso de Ingreso UNViMe,F,A
6311,Curso de Ingreso UNViMe,F,A
6312,Curso de Ingreso UNViMe,F,A
6313,Curso de Ingreso UNViMe,M,A
6314,Curso de Ingreso UNViMe,F,A
6315,Curso de Ingreso UNViMe,F,A
6316,Curso de Ingreso UNViMe,F,A
6317,Curso de Ingreso UNViMe,F,A
6318,Curso de Ingreso UNViMe,F,A
6319,Curso de Ingreso UNViMe,F,A
6320,Curso de Ingreso UNViMe,F,A
6321,Curso de Ingreso UNViMe,F,A
6322,Curso de Ingreso UNViMe,F,A
6323,Curso de Ingreso UNViMe,F,A
6324,Curso de Ingreso UNViMe,F,A
6325,Curso de Ingreso UNViMe,F,A
6326,Curso de Ingreso UNViMe,F,A
6327,Curso de Ingreso UNViMe,M,A
6328,Curso de Ingreso UNViMe,F,A
6329,Curso de Ingreso UNViMe,F,A
6330,Curso de Ingreso UNViMe,F,A
6331,Curso de Ingreso UNViMe,F,A
6332,Curso de Ingreso UNViMe,F,A
6333,Curso de Ingreso UNViMe,F,A
6334,Curso de Ingreso UNViMe,F,A
6335,Curso de Ingreso UNViMe,F,A
6336,Curso de Ingreso UNViMe,F,A
6337,Curso de Ingreso UNViMe,F,A
6338,Curso de Ingreso UNViMe,F,A
6339,Curso de Ingreso UNViMe,F,A
6340,Curso de Ingreso UNViMe,F,A
6341,Curso de Ingreso UNViMe,F,A
6342,Curso de Ingreso UNViMe,F,A
6343,Curso de Ingreso UNViMe,F,A
6344,Curso de Ingreso UNViMe,F,A
6345,Curso de Ingreso UNViMe,F,A
6346,Curso de Ingreso UNViMe,F,A
6347,Curso de Ingreso UNViMe,F,A
6348,Curso de Ingreso UNViMe,F,A
6349,Curso de Ingreso UNViMe,F,A
6350,Curso de Ingreso UNViMe,F,A
6351,Curso de Ingreso UNViMe,F,A
6352,Curso de Ingreso UNViMe,F,A
6353,Curso de Ingreso UNViMe,F,A
6354,Curso de Ingreso UNViMe,F,A
6355,Curso de Ingreso UNViMe,F,A
6356,Curso de Ingreso UNViMe,M,A
